Total Decode Datalog Size
0.582 0.157 0.169 17888
0.417 0.112 0.115 17896
0.423 0.118 0.119 17896
0.529 0.148 0.164 17896
0.351 0.094 0.098 13800
0.568 0.151 0.173 17040
0.386 0.109 0.114 14168
0.423 0.117 0.121 14944
0.514 0.140 0.158 16360
0.360 0.094 0.096 12680
0.673 0.198 0.206 21992
0.413 0.110 0.115 17888
0.467 0.127 0.139 17888
0.476 0.132 0.147 17888
0.402 0.104 0.117 13792
0.723 0.208 0.231 22064
0.458 0.133 0.149 17976
0.507 0.134 0.141 17976
0.611 0.171 0.203 22072
0.377 0.109 0.113 17976
0.750 0.203 0.239 20432
0.489 0.132 0.144 15952
0.485 0.134 0.145 15952
0.627 0.170 0.192 18448
0.394 0.106 0.111 14112
0.806 0.234 0.250 26176
0.480 0.130 0.142 17976
0.577 0.158 0.180 17976
0.618 0.171 0.194 22072
0.437 0.120 0.124 17976
0.737 0.230 0.261 22048
0.487 0.135 0.151 17960
0.544 0.149 0.155 22056
0.790 0.220 0.263 26152
0.448 0.115 0.131 17960
0.720 0.192 0.217 21120
0.485 0.131 0.145 17232
0.528 0.147 0.160 18192
0.734 0.198 0.233 21760
0.422 0.112 0.121 15472
0.836 0.247 0.259 26152
0.490 0.133 0.147 17960
0.742 0.202 0.241 22056
0.819 0.215 0.262 26152
0.498 0.129 0.151 17960
0.614 0.198 0.176 18024
0.432 0.115 0.128 18032
0.458 0.119 0.129 18032
0.611 0.166 0.193 18032
0.338 0.091 0.098 13936
0.587 0.159 0.186 16944
0.425 0.111 0.130 14168
0.437 0.118 0.128 14248
0.596 0.156 0.180 16856
0.358 0.088 0.096 11904
0.681 0.205 0.208 22136
0.408 0.110 0.110 13936
0.532 0.151 0.167 18032
0.578 0.158 0.190 18032
0.401 0.105 0.114 13936
0.882 0.263 0.274 27000
0.655 0.181 0.196 22904
0.720 0.197 0.209 22904
0.962 0.253 0.316 27000
0.514 0.139 0.151 18808
0.860 0.238 0.283 24824
0.631 0.174 0.189 21016
0.670 0.190 0.200 21944
0.725 0.205 0.229 23000
0.528 0.136 0.150 17752
1.042 0.315 0.332 31096
0.607 0.170 0.177 22904
0.739 0.210 0.222 22904
0.762 0.216 0.230 22904
0.572 0.160 0.174 22904
0.840 0.241 0.271 26144
0.602 0.164 0.185 22056
0.631 0.172 0.185 22056
0.887 0.239 0.303 30248
0.508 0.141 0.162 22056
0.859 0.238 0.283 25120
0.565 0.161 0.184 20536
0.637 0.174 0.185 21416
0.774 0.222 0.258 24880
0.520 0.133 0.171 18192
1.014 0.303 0.329 30248
0.619 0.167 0.182 22056
0.748 0.205 0.237 26152
0.775 0.214 0.244 26152
0.566 0.149 0.165 22056
0.893 0.260 0.306 26144
0.632 0.177 0.198 22056
0.702 0.188 0.205 22056
1.620 0.344 0.603 34344
0.526 0.141 0.174 22056
0.866 0.242 0.296 24968
0.620 0.172 0.197 20376
0.841 0.209 0.265 23392
1.127 0.282 0.423 27632
0.538 0.140 0.159 18192
1.108 0.319 0.355 30256
0.629 0.171 0.188 22056
0.821 0.220 0.265 26152
0.855 0.227 0.275 26152
0.611 0.159 0.181 22056
0.695 0.192 0.255 22040
0.473 0.127 0.138 17952
0.522 0.139 0.155 17952
0.672 0.174 0.220 22048
0.410 0.105 0.120 17952
0.709 0.176 0.245 18992
0.462 0.123 0.142 15584
0.465 0.135 0.142 16472
0.602 0.164 0.211 18368
0.413 0.104 0.120 14088
0.869 0.230 0.294 26144
0.474 0.126 0.145 17952
0.604 0.162 0.192 17952
0.644 0.168 0.211 22048
0.458 0.124 0.144 17952
2.977 0.855 1.048 75296
2.255 0.625 0.799 58920
2.239 0.630 0.789 63016
2.563 0.719 0.897 67112
1.813 0.509 0.667 50728
3.028 0.843 1.075 72376
2.254 0.627 0.808 57912
2.236 0.622 0.788 59680
2.580 0.719 0.928 64792
1.817 0.512 0.612 49088
3.483 1.006 1.179 83504
1.955 0.561 0.663 54824
2.311 0.658 0.801 58920
2.387 0.658 0.844 58920
1.901 0.536 0.672 50728
0.849 0.241 0.288 22024
0.557 0.150 0.179 17936
0.603 0.164 0.190 22032
0.956 0.244 0.346 26128
0.479 0.127 0.150 17936
0.865 0.221 0.300 21568
0.573 0.153 0.181 16960
0.610 0.166 0.201 18168
0.809 0.219 0.277 21360
0.497 0.129 0.150 14784
1.039 0.297 0.368 26128
0.581 0.157 0.175 17936
0.750 0.197 0.251 22032
0.788 0.217 0.264 22032
0.532 0.146 0.174 17936
0.346 0.125 0.093 13872
0.258 0.064 0.064 13880
0.247 0.068 0.068 13880
0.337 0.088 0.100 13880
0.228 0.058 0.058 9784
0.332 0.086 0.098 11192
0.249 0.063 0.062 10016
0.273 0.068 0.068 10016
0.367 0.094 0.100 11752
0.227 0.057 0.055 8808
0.391 0.109 0.106 13888
0.235 0.062 0.060 9784
0.333 0.088 0.087 13880
0.335 0.089 0.089 13880
0.258 0.064 0.066 9784
1.239 0.323 0.509 34336
0.971 0.233 0.332 26152
0.998 0.232 0.378 26152
3.245 0.397 1.938 38440
0.749 0.188 0.278 22056
1.283 0.317 0.499 30496
0.891 0.222 0.326 24144
0.959 0.238 0.340 25408
1.909 0.378 0.724 34592
0.746 0.188 0.265 21112
1.485 0.412 0.560 38608
0.858 0.223 0.301 26320
1.216 0.300 0.459 30416
1.246 0.309 0.483 30416
0.835 0.207 0.282 26320
1.810 0.506 0.660 54920
1.333 0.347 0.467 38544
1.362 0.357 0.494 42640
3.763 0.551 2.142 54928
1.167 0.302 0.416 38544
1.825 0.504 0.652 51096
1.336 0.353 0.452 37248
1.339 0.362 0.469 39864
2.366 0.524 0.892 51096
1.120 0.302 0.416 34104
2.333 0.680 0.788 67304
1.321 0.371 0.442 46824
1.624 0.446 0.602 46824
1.646 0.444 0.587 50920
1.192 0.328 0.412 42728
1.107 0.315 0.428 26136
0.819 0.185 0.282 22048
0.874 0.203 0.322 22048
3.427 0.456 1.998 42528
0.623 0.146 0.238 17952
1.093 0.262 0.452 25400
0.768 0.178 0.279 19888
0.805 0.197 0.265 21120
2.082 0.420 0.815 36208
0.622 0.148 0.225 17352
1.258 0.347 0.468 34336
0.752 0.185 0.274 22048
1.081 0.266 0.422 26144
1.140 0.272 0.449 26144
0.692 0.168 0.258 22048
1.472 0.421 0.518 38368
1.034 0.287 0.346 30184
0.994 0.293 0.320 34280
3.009 0.707 1.346 58856
0.785 0.205 0.255 26088
1.431 0.409 0.503 37952
1.021 0.283 0.326 29440
0.968 0.275 0.304 29592
3.196 0.730 1.500 59736
0.761 0.212 0.237 24304
1.607 0.479 0.516 42464
0.884 0.247 0.287 30176
1.585 0.421 0.592 42464
1.756 0.465 0.652 42464
0.893 0.245 0.293 30176
1.234 0.337 0.485 34440
0.915 0.210 0.316 26256
0.937 0.224 0.347 26256
3.384 0.437 2.030 42640
0.668 0.172 0.259 22160
1.283 0.322 0.501 32456
0.876 0.203 0.315 23952
0.904 0.224 0.316 26520
2.055 0.428 0.809 39648
0.693 0.173 0.249 21400
1.537 0.428 0.544 42728
0.813 0.211 0.289 26344
1.213 0.299 0.460 34536
1.225 0.306 0.478 34536
0.760 0.195 0.274 26344
0.829 0.273 0.272 26136
0.572 0.149 0.177 22048
0.545 0.153 0.171 22048
0.775 0.200 0.262 26144
0.455 0.116 0.139 17952
0.796 0.210 0.270 22280
0.567 0.148 0.176 18240
0.572 0.152 0.171 18672
0.691 0.180 0.217 20656
0.441 0.117 0.134 15848
0.935 0.261 0.301 26144
0.533 0.138 0.164 17952
0.639 0.175 0.196 22048
0.619 0.172 0.201 22048
0.508 0.127 0.151 17952
0.806 0.222 0.290 21960
0.533 0.145 0.172 17872
0.582 0.157 0.186 17872
0.921 0.234 0.347 26064
0.444 0.122 0.139 17872
0.810 0.208 0.284 20128
0.524 0.142 0.166 16024
0.562 0.154 0.179 16672
0.805 0.209 0.290 20408
0.417 0.114 0.133 14008
0.971 0.265 0.330 26056
0.525 0.144 0.163 17864
0.770 0.211 0.275 21960
0.799 0.212 0.280 21960
0.527 0.134 0.173 17864
0.436 0.134 0.128 13912
0.334 0.087 0.090 13920
0.339 0.094 0.094 13920
0.466 0.116 0.154 13920
0.299 0.075 0.078 13920
0.432 0.117 0.122 13648
0.341 0.088 0.089 11704
0.334 0.092 0.096 12024
0.401 0.106 0.123 13016
0.280 0.073 0.075 10072
0.477 0.144 0.139 18016
0.319 0.088 0.086 13912
0.403 0.103 0.110 13912
0.389 0.102 0.111 13912
0.328 0.081 0.092 13912
0.852 0.222 0.306 26328
0.593 0.164 0.186 22224
0.585 0.157 0.182 22224
0.969 0.246 0.363 26320
0.494 0.128 0.152 18128
0.797 0.217 0.281 22448
0.584 0.162 0.188 18344
0.554 0.153 0.178 18344
0.848 0.218 0.318 22920
0.477 0.125 0.148 15688
0.890 0.255 0.300 26296
0.521 0.145 0.171 18104
0.651 0.170 0.203 22200
0.622 0.167 0.202 22200
0.533 0.139 0.168 18104
0.795 0.211 0.245 26472
0.528 0.140 0.150 18280
0.579 0.152 0.168 18280
0.829 0.221 0.273 22376
0.469 0.120 0.137 18280
0.768 0.210 0.245 22632
0.519 0.138 0.155 18504
0.564 0.153 0.164 18504
0.835 0.219 0.270 22600
0.473 0.119 0.138 15208
0.925 0.265 0.295 26456
0.543 0.143 0.157 18264
0.714 0.190 0.231 22360
0.758 0.191 0.245 22360
