Total Decode Datalog Size
1.494 0.415 0.487 47880
1.251 0.317 0.406 39688
0.893 0.233 0.301 35528
1.696 0.478 0.575 52136
2.603 0.693 0.936 72552
2.524 0.664 0.917 72584
2.500 0.644 0.896 68456
2.664 0.678 0.945 72608
1.097 0.289 0.363 39744
1.006 0.256 0.303 35560
1.260 0.326 0.442 39656
5.199 1.335 1.976 130280
7.600 1.860 3.199 154600
1.713 0.465 0.572 52008
2.748 0.708 0.983 80776
2.274 0.658 0.762 68560
5.770 1.314 2.652 122488
5.329 1.347 1.979 134824
1.261 0.730 0.552 43784
0.970 0.248 0.309 31432
5.077 1.374 1.822 126056
0.966 0.289 5.838 35528
0.939 0.242 0.291 35560
1.045 0.267 0.339 35592
7.263 3.173 9.025 146344
7.531 1.516 11.874 113704
0.859 0.227 0.268 31400
1.380 0.357 0.417 43784
1.136 0.294 0.350 35592
1.773 0.481 0.629 52008
7.449 1.730 3.453 150864
1.114 0.336 0.520 35624
1.480 0.542 0.479 47912
0.935 0.240 0.282 31432
1.299 0.327 0.420 39752
1.658 0.445 0.517 52040
1.156 0.286 0.343 36024
0.927 0.245 0.403 31432
2.360 0.618 0.761 64400
0.931 0.239 0.287 31432
5.231 1.530 1.850 134824
0.236 0.052 0.057 10512
1.692 0.434 0.578 47944
3.500 0.715 1.744 68424
1.128 0.279 0.342 35528
1.284 0.354 0.390 39688
1.552 0.419 0.518 48008
5.620 1.427 2.269 130256
1.070 0.280 0.325 35560
7.528 1.817 3.101 146376
1.120 0.286 0.338 35560
1.006 0.251 0.323 35560
3.945 1.127 1.973 84872
4.106 0.964 1.943 84840
1.139 0.288 0.356 35560
0.996 0.269 0.316 35560
1.273 0.496 0.396 39816
2.635 0.726 0.866 76712
0.969 0.242 0.292 31432
3.491 0.721 1.842 68360
8.695 2.124 3.630 171016
1.018 0.263 0.326 35624
1.533 0.409 0.505 47880
2.241 0.625 0.775 64392
2.598 0.674 0.915 72584
2.916 0.578 1.584 60168
1.032 0.255 0.333 35528
3.129 0.637 1.633 64264
1.131 0.291 0.364 39720
1.649 0.438 0.595 52040
2.404 0.603 0.969 60232
2.375 0.579 0.886 60232
3.036 0.802 1.251 72520
2.977 0.790 1.253 76616
2.168 0.563 0.745 64432
2.073 0.558 0.711 60264
0.989 0.257 0.319 35528
5.684 1.415 2.327 134728
2.686 0.719 0.936 73144
4.715 1.009 2.289 97288
4.200 0.864 2.193 80776
4.357 0.792 2.013 84776
1.314 0.358 0.445 43824
0.868 0.232 0.281 31432
7.262 1.730 3.207 142184
2.938 0.773 1.063 80808
0.958 0.254 0.322 35560
1.352 0.350 0.437 43784
1.747 0.491 0.593 56728
2.486 0.663 0.880 72648
1.682 0.436 0.574 51976
0.846 0.223 0.269 31400
1.735 0.476 0.587 52040
1.102 0.295 0.375 39656
0.846 0.226 0.273 31432
0.920 0.240 0.311 35560
1.020 0.269 0.341 35592
1.343 0.357 0.425 43848
0.889 0.238 0.281 31432
1.580 0.423 0.527 47976
0.951 0.248 0.312 35592
5.059 1.291 1.815 134824
1.353 0.375 0.453 47976
3.269 0.670 1.647 68488
0.911 0.232 0.276 31432
0.861 0.232 0.279 31432
1.192 0.298 0.389 39624
1.023 0.262 0.308 35528
0.763 0.198 0.227 31400
1.741 0.462 0.568 47976
1.803 0.480 0.616 56104
1.895 0.502 0.626 56136
1.935 0.486 0.669 56104
2.031 0.548 0.689 60264
0.882 0.240 0.276 35592
0.855 0.213 0.236 31400
0.961 0.248 0.289 35496
4.509 1.093 1.830 109736
5.007 1.255 2.000 109480
1.323 0.347 0.433 43752
2.086 0.547 0.691 64328
1.723 0.467 0.588 56240
4.135 0.993 1.668 97808
3.828 0.939 1.393 106024
0.951 0.242 0.285 39624
0.714 0.190 0.215 27304
3.924 1.014 1.391 105544
0.764 0.201 0.238 31368
0.723 0.192 0.224 31400
0.826 0.214 0.247 31464
4.324 1.087 1.716 101224
5.237 0.868 2.104 97288
0.679 0.180 0.206 27272
0.999 0.270 0.315 35528
0.824 0.219 0.253 31432
1.609 0.443 0.531 47880
5.132 1.166 2.263 113936
0.790 0.210 0.244 31432
1.139 0.295 0.372 39656
0.711 0.186 0.211 27272
0.890 0.242 0.286 35592
1.240 0.332 0.392 43784
0.850 0.216 0.255 31864
0.690 0.189 0.216 27272
1.639 0.440 0.545 52080
0.706 0.186 0.217 27304
3.798 0.941 1.386 106024
0.167 0.037 0.041 10512
1.200 0.310 0.392 39688
2.174 0.480 0.928 56104
0.778 0.204 0.251 31400
0.948 0.243 0.305 35528
1.104 0.289 0.357 39720
3.988 0.978 1.629 101520
0.798 0.208 0.248 31432
4.366 1.088 1.746 101256
0.836 0.220 0.254 31432
0.796 0.203 0.240 31432
2.676 0.646 1.100 68424
2.627 0.622 1.099 68424
0.865 0.220 0.262 31400
0.787 0.201 0.242 31400
0.961 0.254 0.301 35688
2.071 0.538 0.704 64392
0.728 0.187 0.217 27272
2.146 0.490 0.934 56040
6.064 1.470 2.410 130024
0.815 0.219 0.256 31464
1.160 0.297 0.371 39624
1.944 0.534 0.682 56136
