Total Decode Datalog Size
10.253 2.098 5.540 163080
5.527 1.279 2.204 118008
6.434 1.339 2.707 122104
9.573 1.975 4.532 163064
5.883 1.050 2.562 97528
9.659 1.789 5.193 152488
5.469 1.270 2.239 115864
5.663 1.300 2.318 119512
8.334 1.754 3.788 150168
5.858 0.992 2.767 94392
14.959 2.131 9.976 171272
5.348 1.251 2.209 113648
6.112 1.411 2.557 125920
6.802 1.532 2.911 130016
5.502 1.229 2.347 109544
2.642 0.694 0.888 68640
2.198 0.585 0.694 60120
2.367 0.624 0.743 60152
4.216 1.022 1.505 88824
1.875 0.492 0.583 51928
2.630 0.700 0.877 64856
2.179 0.582 0.685 56592
2.318 0.608 0.719 60432
3.838 0.967 1.328 85008
1.825 0.480 0.567 52240
2.948 0.849 0.999 76592
2.089 0.565 0.648 59552
2.877 0.743 0.908 67712
3.043 0.762 0.993 67712
2.040 0.534 0.644 55440
2.499 0.694 0.760 77536
1.811 0.502 0.535 61152
1.933 0.522 0.599 65280
3.273 0.874 1.051 93952
1.654 0.435 0.537 57056
2.291 0.637 0.708 73760
1.639 0.449 0.482 61472
1.803 0.486 0.547 62112
3.326 0.813 1.189 90144
1.470 0.388 0.446 53280
3.785 0.867 1.583 77528
1.601 0.442 0.459 57064
2.129 0.575 0.649 69352
3.032 0.628 0.771 73448
1.564 0.419 0.480 57064
0.606 0.158 0.197 23200
0.437 0.110 0.125 18880
0.454 0.112 0.143 18888
0.480 0.115 0.154 18896
0.397 0.099 0.130 14776
0.568 0.146 0.189 19416
0.417 0.110 0.125 15272
0.446 0.110 0.141 15480
0.452 0.113 0.146 15728
0.368 0.090 0.111 13584
0.599 0.164 0.199 19088
0.445 0.112 0.120 18928
0.482 0.117 0.166 18928
0.503 0.127 0.170 18928
0.414 0.101 0.137 14832
7.405 1.591 3.680 122016
4.278 1.109 1.598 93080
4.481 0.984 1.698 84888
5.188 1.143 2.350 93112
6.364 0.759 2.492 68504
7.234 1.475 3.584 114168
4.257 1.084 1.622 89304
3.872 0.967 1.469 85208
4.380 1.074 1.625 89720
4.623 0.750 1.870 64728
13.220 1.819 9.034 134240
3.727 0.949 1.489 80832
4.149 1.002 1.642 84912
4.287 1.049 1.717 89008
3.704 0.904 1.485 76736
2.015 0.518 0.681 51880
1.578 0.424 0.536 47784
1.828 0.488 0.568 51880
2.445 0.659 0.791 64168
1.414 0.360 0.507 39592
1.889 0.509 0.640 52200
1.531 0.409 0.500 44712
1.701 0.464 0.522 48712
2.196 0.590 0.689 56936
1.358 0.339 0.488 39912
2.139 0.620 0.735 60128
1.484 0.390 0.483 43744
1.910 0.499 0.642 51920
2.171 0.572 0.714 56016
1.405 0.383 0.465 43744
4.595 1.018 2.134 96736
2.825 0.750 1.026 80336
3.022 0.774 1.069 80344
4.101 1.012 1.524 96736
2.388 0.615 0.842 68040
4.618 1.003 2.166 92952
2.911 0.744 1.080 76552
3.065 0.774 1.086 78880
3.956 0.918 1.594 87672
2.337 0.597 0.821 64264
4.972 1.194 2.174 104952
2.680 0.694 0.952 76280
3.858 0.957 1.484 88568
5.091 1.301 2.049 109048
2.783 0.726 0.984 72184
2.108 0.528 0.823 57056
1.528 0.411 0.477 48856
1.507 0.412 0.474 48856
2.598 0.695 0.907 69336
1.293 0.340 0.415 44760
1.975 0.488 0.823 53344
1.431 0.392 0.460 45752
1.509 0.390 0.454 46936
2.786 0.702 0.964 67736
1.237 0.322 0.390 39672
2.147 0.574 0.790 57016
1.389 0.364 0.428 44760
2.186 0.577 0.720 57032
2.219 0.574 0.741 61128
1.467 0.354 0.425 44744
0.350 0.078 0.115 14848
0.265 0.063 0.065 14840
0.268 0.065 0.068 14872
0.336 0.081 0.096 14872
0.228 0.053 0.062 10744
0.320 0.075 0.114 11840
0.252 0.059 0.063 11064
0.258 0.061 0.064 11192
0.297 0.074 0.077 12056
0.218 0.050 0.057 11064
0.335 0.080 0.105 14864
0.237 0.056 0.063 10624
0.284 0.073 0.078 14720
0.488 0.110 0.143 14720
0.415 0.086 0.116 10624
1.720 0.404 0.643 41784
1.107 0.276 0.326 36896
1.274 0.284 0.428 36896
1.990 0.488 0.678 49184
0.953 0.227 0.312 32800
1.584 0.391 0.548 42104
1.088 0.260 0.319 34168
1.119 0.275 0.328 37208
1.875 0.470 0.623 46328
0.899 0.222 0.263 29016
1.758 0.507 0.626 49952
1.097 0.272 0.313 36912
1.072 0.275 0.315 32816
1.102 0.278 0.318 32816
1.007 0.250 0.289 32832
8.247 1.629 4.393 139488
4.625 1.053 1.972 102432
5.137 1.144 2.172 106528
5.863 1.338 2.393 122912
5.770 0.889 2.666 86048
7.912 1.527 4.159 130720
4.220 0.998 1.691 98648
4.968 1.112 2.060 106840
5.529 1.262 2.218 119128
5.269 0.850 2.229 82264
14.807 1.814 10.416 147704
4.614 1.039 1.927 94304
5.008 1.119 2.111 102480
6.105 1.403 2.704 110672
4.361 1.006 1.866 94304
6.037 1.491 2.442 134144
4.574 1.150 1.665 109560
4.764 1.204 1.686 113656
6.736 1.551 2.826 138232
4.080 0.983 1.579 97256
5.852 1.431 2.286 130360
4.474 1.126 1.624 113968
4.851 1.198 1.725 114656
5.836 1.325 2.151 127216
3.716 0.910 1.368 93472
6.894 1.765 2.770 150552
4.342 1.110 1.560 105512
5.099 1.250 1.920 113704
5.336 1.339 1.980 117800
4.342 1.093 1.609 101416
8.448 1.904 3.382 221696
6.657 1.589 2.490 186080
6.778 1.519 2.619 186112
7.011 1.629 2.657 190208
6.205 1.279 2.661 165600
8.094 1.818 3.261 209728
6.974 1.645 2.576 190464
6.745 1.603 2.503 186400
7.446 1.716 2.806 194592
5.567 1.178 2.309 157728
9.750 2.170 4.655 225480
5.539 1.346 2.032 169512
5.739 1.405 2.071 169496
5.768 1.425 2.099 169496
5.384 1.301 1.847 165416
18.335 3.732 8.536 315864
12.440 2.884 4.843 246232
13.046 2.941 5.026 250328
16.765 3.656 6.847 299480
8.782 2.012 3.202 188856
17.360 3.578 7.831 303896
12.771 2.873 5.082 250648
12.632 2.755 4.864 250648
17.176 3.568 6.996 299800
8.379 1.807 2.978 180984
18.647 4.164 8.105 336272
13.092 2.441 6.072 217480
14.775 3.085 5.743 254344
17.217 4.228 7.362 266632
12.017 2.541 4.900 209288
9.031 2.154 3.942 179824
5.717 1.399 2.206 126584
6.184 1.480 2.388 134776
9.209 2.039 4.035 167544
4.999 1.161 2.097 106104
8.731 2.023 3.722 171944
6.309 1.419 2.588 127448
6.068 1.461 2.258 135096
8.833 1.977 3.659 168920
4.608 1.142 1.889 102328
10.172 2.416 4.252 188032
5.270 1.325 1.893 122480
7.856 1.884 3.111 142944
10.241 2.366 4.932 155232
5.139 1.258 1.960 114288
11.240 1.430 2.088 179168
9.778 1.113 1.460 158688
10.784 1.291 1.753 170976
11.470 1.784 2.755 203776
9.204 0.985 1.304 146400
10.988 1.376 2.012 172736
9.746 1.098 1.458 155936
10.681 1.257 1.674 167200
16.385 1.649 2.424 195872
8.230 0.925 1.242 142592
11.284 1.487 2.086 183224
8.772 1.049 1.339 150440
10.849 1.499 2.121 179112
12.500 1.557 2.179 183208
8.666 1.012 1.399 150440
9.349 2.017 4.370 178736
6.782 1.638 2.805 153576
7.197 1.634 2.836 157704
8.913 1.977 3.803 178184
5.898 1.372 2.441 137192
9.071 1.923 4.291 170864
6.546 1.548 2.694 149768
7.042 1.565 2.850 153864
7.820 1.741 3.221 162728
5.585 1.292 2.211 129288
11.309 2.490 5.441 207296
6.207 1.465 2.354 139448
6.598 1.582 2.567 147624
7.128 1.657 2.779 151720
5.790 1.401 2.312 135352
49.225 5.863 15.448 501928
29.608 4.302 9.900 393296
32.734 4.617 10.582 422000
45.555 5.584 20.545 491632
27.411 3.612 8.733 348304
47.800 5.679 14.898 483048
30.624 4.265 10.106 394096
32.837 4.499 11.137 418160
30.988 5.175 13.594 459120
26.404 3.443 7.998 336784
34.769 6.700 15.967 542784
27.191 4.015 8.601 372768
24.332 4.282 10.114 389104
31.493 4.655 11.001 405488
26.649 3.866 8.484 356368
3.007 0.755 1.083 88632
3.031 0.736 1.109 88632
2.967 0.753 1.078 88632
3.000 0.749 1.075 88632
3.019 0.750 1.086 88632
2.846 0.717 0.989 84944
2.825 0.707 0.988 84944
2.865 0.715 0.987 84944
2.972 0.733 1.147 84944
2.833 0.708 0.988 84944
3.151 0.740 1.177 88688
3.141 0.737 1.192 88688
3.117 0.753 1.183 88688
3.094 0.754 1.174 88688
3.150 0.758 1.187 88688
10.030 2.108 4.269 206984
9.911 2.113 4.261 206984
10.008 2.129 4.276 206984
9.936 2.095 4.275 206984
10.033 2.067 4.339 206984
9.590 2.119 3.864 207424
9.567 2.122 3.895 207424
9.499 2.136 3.873 207424
9.523 2.108 3.908 207424
9.535 2.112 3.872 207424
10.513 2.379 4.522 219352
