size time
21160 1.036
21136 0.778
21184 1.164
21104 0.982
17040 0.682
20288 1.019
17336 0.737
18120 0.764
19528 0.885
15864 0.74
25352 1.089
21208 0.764
21048 0.816
21048 0.839
16992 0.726
26008 1.261
21888 0.883
21888 0.875
25952 1.048
21888 0.749
24360 1.214
19800 0.929
19760 0.847
22296 1.101
17968 0.747
30216 1.329
21968 0.909
21816 0.996
25912 1.109
21856 0.785
25872 1.156
21752 0.905
25848 0.998
29864 1.416
21752 0.891
24920 1.122
20952 0.9
21872 0.932
25440 1.263
19208 0.869
30024 1.408
21832 0.901
25768 1.179
29864 1.346
21712 0.886
21232 1.045
21208 0.787
21208 0.89
21128 1.046
17112 0.755
20128 0.992
17272 0.778
17312 0.885
19920 1.002
15024 0.7
25432 1.173
17184 0.747
21120 0.972
21120 1.081
17064 0.842
31984 1.371
27856 1.08
27856 1.112
31872 1.471
23760 0.99
29784 1.438
25896 1.145
26784 1.15
27840 1.31
22688 1.002
36192 1.648
27960 1.095
27800 1.28
27800 1.244
27840 0.994
30608 1.321
26488 1.066
26488 1.132
34608 1.507
26488 0.991
29568 1.323
24904 1.093
25744 1.028
29248 1.353
22568 0.915
34768 1.519
26576 1.082
30512 1.265
30512 1.313
26456 1.032
30096 1.422
25976 1.055
25976 1.096
38232 2.274
25976 0.997
28896 1.432
24224 1.039
27288 1.28
31480 1.762
22056 0.95
34296 1.582
26048 1.023
29984 1.346
29984 1.276
25928 1.044
25808 1.136
21688 0.901
21688 0.986
25704 1.176
21688 0.82
22736 1.055
19248 0.891
20176 0.839
21992 1.046
17808 0.732
29960 1.363
21768 0.909
21608 1.019
25704 1.122
21648 0.799
81048 4.158
64640 3.159
68736 3.277
72792 3.693
56448 2.758
78104 4.283
63560 3.258
65736 3.275
70592 3.627
54752 2.655
89376 4.62
60648 2.863
64584 3.364
64584 3.441
56432 2.927
25728 1.322
21608 0.968
25800 0.999
29720 1.493
21608 0.917
25248 1.368
20560 0.965
21824 1.111
24920 1.393
18400 0.862
29888 1.589
21696 0.946
25632 1.308
25632 1.347
21576 0.969
17336 0.649
17312 0.543
17312 0.611
17232 0.655
13216 0.552
14632 0.656
13376 0.536
13296 0.563
15032 0.654
12184 0.528
17440 0.731
13296 0.545
17232 0.673
17232 0.674
13176 0.535
38880 1.676
30664 1.387
30664 1.395
42920 2.49
26568 1.149
35016 1.66
28584 1.373
29888 1.376
39032 2.253
25608 1.119
43704 2.031
31416 1.268
35352 1.674
35352 1.706
31296 1.22
65304 2.627
45520 1.901
49616 1.936
61872 3.175
45760 1.672
61512 2.491
44200 1.854
47880 2
59064 2.852
78680 3.491
58128 1.911
55072 2.315
59104 2.336
51096 1.845
30368 1.519
26248 1.192
26248 1.243
46696 2.652
22152 0.949
29608 1.507
24016 1.088
25376 1.153
40336 2.468
21584 1.038
38632 1.731
26344 1.182
30280 1.466
30280 1.524
26224 1.062
43960 2.262
35744 1.632
40024 1.698
64336 4.723
31648 1.287
43520 2.187
34928 1.605
35600 1.526
65344 4.915
29800 1.295
48120 2.313
35832 1.488
47960 2.585
47960 2.771
35712 1.416
43752 1.714
33544 1.311
33648 1.355
50000 2.665
29856 1.121
41800 1.782
31112 1.31
34480 1.287
47472 2.545
29072 1.097
52832 2.146
36376 1.304
42664 1.75
42664 1.745
34616 1.186
29776 1.226
25656 1.004
25656 1.008
29672 1.262
21560 0.848
25896 1.214
21776 1.002
22208 0.982
24192 1.15
19400 0.851
29840 1.443
21648 0.883
25584 1.078
25584 1.114
21528 0.833
25240 1.314
21120 0.944
21120 1.017
29232 1.513
21120 0.799
23384 1.301
19200 0.977
19808 0.953
23544 1.396
17200 0.865
29400 1.461
21208 0.973
25144 1.317
25144 1.39
21088 0.923
16880 0.78
16856 0.674
16856 0.749
16784 0.956
16856 0.617
16592 0.81
14568 0.659
14840 0.734
15800 0.785
12944 0.574
21096 0.923
16952 0.63
16792 0.74
16792 0.799
16832 0.628
29560 1.331
25424 0.987
25424 1.044
29440 1.572
21328 0.927
25664 1.258
21480 1.079
21496 1.026
26072 1.353
18872 0.869
29632 1.337
21392 0.978
25328 1.018
25328 1.126
21272 0.966
31624 1.225
22672 1.006
22600 1.031
26544 1.411
22672 0.803
27760 1.238
22824 0.99
22672 0.969
26656 1.287
19552 0.846
31568 1.403
23376 0.994
26544 1.175
26544 1.193
22592 0.909
32152 1.277
23280 0.972
23240 0.942
27256 1.176
23280 0.853
28544 1.259
21128 0.962
21392 0.969
23408 1.045
19352 0.732
32008 1.577
23816 0.902
27312 1.032
27312 1.082
23256 0.788
36088 1.509
27296 4.428
27264 3.724
31144 7.073
27304 4.639
32384 10.163
25112 5.107
26224 11.889
29680 3.427
23376 4.436
35936 6.282
27744 4.306
31208 5.608
31208 8.542
27216 5.824
50128 8.078
41216 1.692
41184 1.657
45136 1.97
37128 1.421
46552 2.184
37272 1.572
38864 1.708
41264 1.861
33200 1.486
53992 2.542
41704 1.66
41152 1.947
45216 2.089
37096 1.639
26808 1.006
22192 0.866
22152 0.796
22072 1.031
18096 0.749
23296 1.029
18248 0.799
18704 0.842
20720 1.005
16632 0.661
26704 1.192
22496 0.732
22080 0.959
22080 0.996
18056 0.759
27064 1.04
22464 0.804
22424 0.829
30536 1.429
22464 0.698
24840 1.133
19448 0.84
20416 0.839
22528 1.074
18536 0.771
31104 1.287
22752 0.878
22408 1.072
26504 1.123
22448 0.769
36808 1.546
27984 1.072
32072 1.212
35960 1.657
28048 0.926
34256 1.484
26504 1.107
28048 1.198
32432 1.51
24112 0.936
40744 1.737
28496 1.048
31904 1.428
31904 1.47
27952 1.112
31744 1.302
22792 0.87
26776 1.009
26656 1.295
22792 0.798
28976 1.343
21344 0.868
22752 0.939
24248 1.168
19568 0.867
35752 1.545
23464 1.011
26744 1.168
26744 1.088
22688 0.922
36744 1.626
32152 1.182
32112 1.251
36128 1.702
28056 1.006
35696 1.641
28208 1.165
30328 1.244
34872 1.67
25280 1.039
40664 1.839
32472 1.155
32096 1.531
36192 1.573
28040 1.149
40704 1.487
32128 1.142
36184 1.182
40168 1.648
32128 1.061
36968 1.485
32288 1.125
32160 1.104
37088 1.58
29000 1.062
44616 1.725
32328 1.174
36040 1.4
36040 1.419
32024 1.094
43632 1.696
38672 1.259
38744 1.328
42536 1.542
34680 1.085
43832 1.669
34728 1.195
