size time
58912 2.334
50288 1.963
45152 1.544
64536 2.571
89456 3.846
88016 3.654
83616 3.509
88384 3.808
50240 1.778
45368 1.557
50520 1.89
155312 7.2
175880 9.555
65408 2.538
93912 3.927
84280 3.398
143320 6.934
161808 7.477
53896 1.844
40816 1.43
149040 7.015
44624 1.535
45120 1.516
45952 1.631
164888 9.026
129232 9.26
40376 1.452
55200 2.029
45880 1.684
63424 2.524
177328 8.511
45824 1.662
58784 2.213
40736 1.455
51080 1.916
64760 2.405
46080 1.705
40728 1.482
79896 3.299
40776 1.397
161800 7.609
13672 0.471
59088 2.436
81432 3.553
45824 1.61
50472 1.81
60112 2.324
156192 7.281
45344 1.638
166088 8.931
45720 1.653
45352 1.598
98944 4.306
99216 4.467
45552 1.679
45192 1.575
51536 1.843
92736 3.788
40728 1.432
79920 3.473
194104 10.973
45952 1.653
60160 2.298
79168 3.459
89040 3.698
70984 3.045
45808 1.564
75432 3.357
50160 1.827
63192 2.892
71688 3.932
71688 3.891
83976 5.051
88072 5.09
78056 3.045
74600 3.126
45360 1.5
158368 7.62
88744 3.821
113496 5.21
94592 4.262
97160 4.353
54728 2.03
40728 1.464
160960 8.796
96968 4.124
45528 1.524
54416 2.148
70168 2.625
87912 3.773
64264 2.557
40376 1.347
64192 2.667
50144 1.899
40768 1.457
45064 1.563
46016 1.702
55792 2.137
40736 1.388
58744 2.393
45488 1.49
161808 7.403
59992 2.185
81424 3.544
40824 1.408
40776 1.471
49040 1.722
45144 1.516
40168 1.264
59144 2.561
69632 2.754
69424 2.734
69000 2.668
73760 2.924
45096 1.482
40400 1.318
45552 1.454
130656 6.178
126752 6.408
55480 2.07
75728 2.97
70240 2.671
115512 5.447
128240 5.563
48832 1.594
35920 1.185
125000 5.802
39704 1.261
40112 1.185
40904 1.359
116336 5.875
111280 4.994
35480 1.119
45888 1.662
40832 1.433
58280 2.426
135680 6.695
40576 1.358
49352 1.79
35816 1.139
45072 1.547
55264 1.901
40984 1.315
35808 1.229
65800 2.48
35888 1.236
128232 5.619
13600 0.415
49776 1.959
67248 2.781
40112 1.364
44600 1.497
50496 1.765
122488 5.601
40296 1.283
117544 6.021
40744 1.337
40424 1.325
80192 3.398
81456 3.515
40392 1.431
39960 1.332
46208 1.591
78512 3.087
35768 1.251
66304 2.705
149192 7.967
40656 1.3
50464 1.755
69200 2.961
70072 2.833
57416 2.362
39920 1.268
61752 2.609
40816 1.461
53912 2.324
58232 3.212
58232 3.161
66424 3.751
66424 3.596
64256 2.334
60272 2.135
40408 1.404
121840 5.552
82960 3.448
89984 3.897
80680 3.639
83288 3.506
45584 1.575
35808 1.223
112504 5.802
77920 3.045
40640 1.348
44544 1.587
64752 2.564
73672 2.947
54408 2.023
35480 1.179
