size time 
181632 10.421
135296 7.082
139128 7.549
179760 11.536  
114896 6.205
170816 10.021
132800 7.226
136528 7.93
166744 11.147
111296 6.534
189840 10.904
132232 7.046
141872 7.89
145904 8.675
126368 6.698
81576 3.822
71984 3.175
72152 3.409
100496 5.824
64080 2.834
77576 3.726
68152 3.231
72016 3.338
96328 5.397
64096 2.835
89344 4.213
72472 3.126
79256 3.946
79160 4.142
67448 2.941
91560 3.678
75128 2.81
79496 3.005
108016 4.887
71144 2.576
87560 3.471
75128 2.571
76008 2.887
103888 4.758
67000 2.26
91440 3.716
71120 2.631
83256 3.356
87352 3.742
71120 2.475
28576 0.973
23848 0.884
23896 0.943
23880 0.802
19768 0.78
24576 0.919
19936 0.864
20240 0.794
20456 0.844
18280 0.779
24280 1.019
24200 0.796
23712 0.84
23680 0.883
19808 0.762
134064 8.028
104496 5.621
96280 5.337
104504 6.07
79960 4.185
126048 7.624
100464 5.525
96472 5.223
100992 5.939
75928 3.971
146320 8.631
92912 4.948
96608 5.329
100704 5.606
88608 4.875
63960 3.035
59568 2.428
63992 2.781
76088 3.623
51552 2.088
64064 2.803
56240 2.335
60568 2.719
68696 3.466
51608 1.973
72504 3.357
56008 2.341
64048 2.985
68144 3.29
56016 2.187
104504 5.227
87352 3.926
87416 4.224
103824 5.161
75128 3.437
100512 5.261
83200 3.965
85568 4.242
94144 4.721
70952 3.309
112560 5.746
83936 3.736
94776 4.851
115160 6.363
78808 3.69
66048 2.764
57728 2.279
57896 2.404
78760 3.811
53632 2.012
62112 2.691
54320 2.233
55712 2.338
76776 3.921
48288 1.863
65968 2.854
53840 2.065
65944 3.133
70040 3.242
53696 1.986
18680 0.63
14512 0.497
15448 0.684
14576 0.486
18608 0.637
14368 0.515
48520 2.23
43288 1.813
43344 1.83
55560 2.787
39224 1.555
48616 2.281
40288 1.796
43672 1.717
52768 2.608
35160 1.436
56560 2.679
43624 1.61
39128 1.675
39128 1.656
39296 1.592
154336 8.418
116432 5.769
120672 6.384
136440 7.888
100264 5.343
145344 8.186
112368 5.83
120960 6.552
132728 7.414
96144 5.061
162488 9.136
109120 5.669
115960 6.336
124008 7.027
108384 5.494
155528 8.044
129320 6.235
133464 6.643
157336 8.868
117304 5.502
151536 7.749
133592 6.279
134616 6.806
146800 7.991
113200 5.365
171696 8.855
126696 6.306
132568 6.891
136584 7.176
120840 5.976
238560 11.551
202264 8.955
202544 8.671
206520 9.08
181928 7.268
226368 10.811
206136 9.385
202328 9.27
210400 9.816
173544 6.932
242104 11.034
186328 7.701
185296 7.999
185264 7.947
181448 7.414
360216 20.259
283944 16.351
288016 16.924
335904 21.3
227704 11.816
348024 19.565
288080 17.049
290880 17.737
339184 22.616
219744 10.998
380664 21.977
261760 14.054
290520 18.271
302616 19.338
246312 14.213
202040 11.185
144992 7.832
153320 8.596
183992 11.509
125264 6.594
193944 11.059
145544 7.708
153632 8.614
185576 11.889
121168 6.316
209992 12.474
144616 7.627
159064 9.904
171216 11.058
132176 7.085
196856 8.727
176168 7.17
188776 8.134
221616 11.279
163840 6.323
190208 8.464
173104 7.097
184760 7.79
213320 10.331
159720 6.256
200888 8.482
168072 6.635
196464 9.103
200520 9.334
167896 6.686
202240 11.253
176160 9.043
180720 9.707
201328 11.608
159888 7.908
194152 10.736
171984 8.672
176960 9.559
185584 10.409
151616 7.514
230704 13.155
162856 8.528
169616 9.165
173624 9.57
157720 7.923
916056 36.282
1436536 32.525
1616344 32.215
1945128 40.758
1310984 25.77
1057064 35.47
1569008 32.889
1716984 32.883
1916080 37.094
1405632 24.197
1053608 39.928
1002360 27.556
1094616 29.136
1135360 31.032
1005456 25.159
392800 4.255
392800 4.288
392800 4.38
392800 4.307
392800 4.374
403888 4.198
403888 4.175
403888 4.188
403888 4.137
403888 4.199
281192 4.328
281192 4.369
281192 4.388
281192 4.392
281192 4.329
2346056 14.385
2346056 14.388
2346056 14.298
2346056 14.329
2346056 14.488
2534112 14.367
2534112 14.414
2534112 14.414
2534112 14.41
2534112 14.305
2081728 16.277
2081728 16.255
2081728 16.622
2081728 16.479
2081728 16.318
548008 33.944
430056 26.088
450216 29.757
539872 40.257
382352 22.415
527624 32.987
427768 25.684
449288 30.615
526712 39.06
371264 21.391
580808 39.339
416528 25.685
428136 28.814
435912 29.563
384032 22.979
255368 13.283
199248 9.172
203512 10.157
223536 12.157
178776 7.973
246408 12.918
195104 8.933
199384 9.878
211280 10.939
174648 7.759
266288 19.292
187168 8.997
193112 9.569
197120 9.739
181512 8.149
